"Department","Municipality","Latitude.DD","Longitude.DD","Altitude.masl","pH","EC.dSm","NH4.ppm","NO3.ppm","K2O.ppm","P2O5.ppm","SOC.pct","Sand.pct","Silt.pct","Clay.pct","Slope.pct"
"Boyaca","Tinjaca",5.5623759,-73.642413,2128,5.8,0.61,14.3,18.1,203.6,151.2,1.52,29,44.2,26.8,5.7
"Boyaca","Tinjaca",5.56088276,-73.651162,2164,5.9,0.33,8.9,1.4,326.5,77.9,2.51,24.7,46.6,28.7,4
"Boyaca","Tinjaca",5.57676553,-73.642018,2117,5.5,0.35,5.3,1.1,203.6,39,1.31,12.2,40.5,47.4,5.9
"Boyaca","Tinjaca",5.58046979,-73.669993,2205,4.8,0.41,11,3.2,55.4,29.8,3.07,16.2,48.8,35,5.7
"Boyaca","Tinjaca",5.55755838,-73.663222,2140,5.5,0.27,8.9,0.4,100,148.9,1.88,14.7,60.6,24.8,3
"Boyaca","Tinjaca",5.55260058,-73.67794,2277,5,0.1,6.6,0.9,222.9,20.6,3.2,27,49.7,23.4,4.1
"Boyaca","Tinjaca",5.55613174,-73.68444,2216,5.6,0.11,25,1.4,172.3,27.5,3.37,32,42.8,25.1,5.2
"Boyaca","Tinjaca",5.5597053,-73.696392,2324,5.2,0.09,21.6,0.4,133.7,13.7,1.49,29.6,43.1,27.3,4.9
"Boyaca","Tinjaca",5.56974364,-73.657951,2140,5.7,0.4,11,9.8,507.2,130.6,1.61,18.9,58.4,22.7,0.7
"Boyaca","Villa de Leyva",5.65734608,-73.578604,2088,7,0.26,4.5,1.3,283.1,247.5,1.65,13.1,40.9,45.9,1.3
"Boyaca","Sutamarchan",5.66179359,-73.590085,2127,7,0.57,6.1,1.1,302.4,80.2,2.85,10.4,39.2,50.4,5.3
"Boyaca","Sutamarchan",5.66729491,-73.598607,2206,7.5,2.14,0.9,17,120.5,295.6,0.93,20.9,76.1,3,5
"Boyaca","Santa Sofia",5.68140104,-73.591257,2237,7.6,1.91,5.8,10.4,91.6,36.7,1,18.3,35,46.7,3.1
"Boyaca","Sutamarchan",5.67470844,-73.603861,2341,7.5,0.43,5,0.2,66.3,18.3,1.38,45.7,32.7,21.6,14.6
"Boyaca","Sutamarchan",5.6725164,-73.61811,2511,5,0.18,7,0.4,180.7,9.2,1.68,8.4,55.5,36.1,4.9
"Boyaca","Santa Sofia",5.74678395,-73.582763,2150,5.4,0.07,7.3,0.6,84.3,25.2,1.07,30.1,34.3,35.6,3.6
"Boyaca","Santa Sofia",5.73966828,-73.595444,2197,6.8,0.56,15.2,0.1,243.3,39,1.93,27.7,44.8,27.5,7.6
"Boyaca","Santa Sofia",5.74186817,-73.608866,2389,6.5,0.21,5.9,0.8,72.3,213.1,2.01,28.5,49.7,21.7,12.6
"Boyaca","Santa Sofia",5.75906788,-73.601731,2303,4.7,0.07,16.5,0.3,196.4,13.7,3.76,39.7,41.7,18.6,4
"Boyaca","Santa Sofia",5.77192901,-73.594239,2198,4.9,0.1,17.9,0.6,279.5,22.9,3.15,27.4,38.9,33.7,13
"Boyaca","Sachica",5.57060682,-73.548009,2222,5.5,0.97,3.3,2.5,114.4,71,0.68,30.7,48.2,21.1,3
"Boyaca","Sachica",5.60534736,-73.560071,2133,5.6,1.26,18.7,13.8,144.6,183.3,0.78,39.1,46,14.9,4.2
"Boyaca","Sutamarchan",5.62151541,-73.603655,2110,6.8,2.43,2.5,11.3,77.1,252.1,0.35,28.8,44.1,27.1,8.8
"Boyaca","Tinjaca",5.58506229,-73.640687,2121,5.2,0.7,2.6,9.8,155.4,121.4,0.97,14.7,62.3,23,3
"Boyaca","Tinjaca",5.58514378,-73.644284,2132,5.3,1.82,4.8,13.7,69.9,29.8,1.08,28.6,46.3,25.2,1.4
"Boyaca","Tinjaca",5.60641522,-73.654946,2358,6.5,1.65,11.5,13.9,74.7,27.5,1.88,30.7,44.2,25.1,9.7
"Boyaca","Tinjaca",5.60860435,-73.659772,2420,5.7,0.31,5.5,0.9,265,158.1,1.76,39,46.1,15,3.1
