"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"PA01","Santander","Survey","ValleSanJose",-73.11488,6.48086,1140,7500,84,1.2,1.2,268.8,733.77,0.0282,0,0
"PA02","Santander","Survey","Paramo",-73.12845,6.47393,1120,5000,98,1.6,7.6,161.28,732.74,0.009,0.023,0.03
"PA03","Santander","Survey","Paramo",-73.1957,6.38538,1427,2500,112,1.2,4.8,460.8,865.15,0.03384,0.04383,0.03274
"PA04","Santander","Survey","Paramo",-73.17046,6.34847,1433,5000,112,1,1.6,403.2,821.3,0.01606,0.01824,0.01852
"PA05","Santander","Survey","Paramo",-73.1928,6.39005,1800,1200,112,2.1,5.83,672,803.45,0.01406,0.02128,0.02102
"PA06","Santander","Survey","Paramo",-73.1707,6.38896,1418,2500,112,2,3,967.68,917.13,0.03104,0.03453,0.03945
"PA08","Santander","Survey","Paramo",-73.13233,6.47059,1244,15000,105,1.1,1.6,1088.64,910.45,0.01191,0.02132,0.01662
"PA09","Santander","Survey","Paramo",-73.13505,6.47044,1284,5000,105,1.6,7,1555.2,589.14,0.01248,0.017,0.01548
"PA10","Santander","Survey","ValleSanJose",-73.07372,6.477,1239,15000,84,0.7,1.03,193.54,884.65,0.01723,0.03189,0.01152
"PA11","Santander","Survey","ValleSanJose",-73.08745,6.48252,1218,7500,112,1.2,5.87,2032.13,917.13,0.01,0.01362,0.00787
"PA12","Santander","Survey","ValleSanJose",-73.09689,6.48195,1696,2500,112,1.5,4,204.29,912.12,0.00618,0.00623,0.00643
"PA13","Santander","Survey","ValleSanJose",-73.09155,6.48346,1224,2500,112,2.2,3.2,812.85,890.89,0.0163,0.02126,0.02006
"PA15","Santander","Survey","Paramo",-73.17968,6.4031,1607,5000,112,1.2,7.2,1102.08,851.32,0.00071,0.00063,0.00079
"PA16","Santander","Survey","Paramo",-73.20046,6.39734,1905,7500,112,0.9,10.67,179.2,714.79,0.00646,0.00301,0.0127
"PA17","Santander","Survey","Paramo",-73.19412,6.38737,1865,2500,112,1.6,8,314.88,1090.66,0.00295,0.00779,0.00552
"PA18","Santander","Survey","Paramo",-73.18388,6.4191,1923,10000,112,1.3,1.4,413.28,895,0.00146,0.00072,0.00076
"PA19","Santander","Survey","Paramo",-73.19498,6.38685,1870,7500,112,0.8,2.67,0,917.13,0.00332,0.00166,0.00351
"PA20","Santander","Survey","Paramo",-73.19344,6.38768,1867,5000,112,1.1,6,0,895.44,0.00647,0.00064,0.00117
"PA21","Santander","Survey","Paramo",-73.17812,6.38382,1852,10000,112,1.3,6,275.52,878.17,0.00312,0.00267,0.00033
