As of Date,Fund Name,Donor Name,Donor Country Code,Receipt Type,Receipt Quarter,Calendar Year,Receipt Currency,Receipt Amount,Contribution Type,Sub Account,Amount in USD,Sector/Theme
2013-12-31T00:00:00.000,Adaptation Fund,Private Citizens Miscellaneous,,Cash,JUL-SEP,2009,USD,156.31,Grant,,156.31,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6547500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Private Citizens Miscellaneous,,Cash,APR-JUN,2010,USD,238.95,Grant,,238.95,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Germany,DE,Cash,OCT-DEC,2013,EUR,10000000.00,Grant,,13687000.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6239500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6365500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Private Citizens Miscellaneous,,Cash,JUL-SEP,2009,USD,171.00,Grant,,171.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6667500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6659500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Monaco,MC,Cash,APR-JUN,2010,EUR,10000.00,Grant,,12197.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6073500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Sweden,SE,Cash,OCT-DEC,2010,SEK,100000000.00,Grant,,14634646.06,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Finland,FI,Cash,JAN-MAR,2011,USD,67534.00,Grant,,67534.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Germany,DE,Cash,OCT-DEC,2010,EUR,10000000.00,Grant,,13883000.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6269000.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Japan,JP,Cash,JAN-MAR,2011,USD,5693.00,Grant,,5693.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Switzerland,CH,Cash,JAN-MAR,2011,USD,77668.00,Grant,,77668.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Norway,NO,Cash,JAN-MAR,2011,USD,87700.00,Grant,,87700.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Spain,ES,Cash,APR-JUN,2010,EUR,5000000.00,Grant,,6207500.00,Environment/Climate Change
2013-12-31T00:00:00.000,Adaptation Fund,Switzerland,CH,Cash,OCT-DEC,2013,CHF,10000000.00,Grant,,10936132.98,Environment/Climate Change
